waybar 0.10.3-1
wezterm 20240203.110809.5046fc22-2
wget 1.24.5-3
wireless_tools 30.pre9-4
wireplumber 0.5.5-1
wl-clipboard 1:2.2.1-2
wofi 1.4.1-1
wpa_supplicant 2:2.10-8
wpaperd-git r278.430244a-1
xdg-desktop-portal-hyprland 1.3.2-2
xdg-desktop-portal-kde 6.1.3-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xorg-server 21.1.13-1
xorg-xinit 1.4.2-2
yay 12.3.5-1
yay-debug 12.3.5-1
zsh 5.9-5
